Species,x,y
Coral,"402328","6067415"
Coral,"336865","6024196"
Coral,"342995","6023641"
Coral,"300320","6001026"
Coral,"453941","6135506"
Coral,"221604","5974080"
Coral,"179345","5962095"
Coral,"172087","5942674"
Coral,"113411","5902367"
Coral,"242351","5779194"
Coral,"286049","5770509"
Coral,"293264","5766132"
Coral,"334700","5738308"
Coral,"278068","5733488"
Coral,"334502","5727924"
Coral,"313534","5721856"
Coral,"300518","5722044"
Coral,"291009","5724593"
Coral,"295402","5718225"
Coral,"328691","5711726"
Coral,"315341","5711885"
Coral,"314246","5698895"
Coral,"321045","5697409"
Coral,"314040","5691868"
Coral,"318263","5689326"
Coral,"324961","5688932"
Coral,"333071","5687705"
Coral,"337966","5690894"
Coral,"328325","5693916"
Coral,"332820","5675105"
Coral,"341423","5652335"
Coral,"341576","5637140"
Coral,"322984","5609467"
Coral,"338251","5542458"
Coral,"360092","5503029"
Coral,"331242","5459107"
Coral,"332278","5431175"
Coral,"364331","5426142"
Coral,"372692","5427099"
Coral,"378035","5427903"
Coral,"382647","5416017"
Coral,"446442","5368129"
Coral,"573068","5334094"
Coral,"562092","5327351"
Coral,"576818","5313332"
Coral,"629016","5317424"
Coral,"616532","5292474"
Coral,"629732","5285456"
Coral,"613718","5273678"
Coral,"630334","5272753"
Coral,"658533","5251208"
Coral,"754528","5234160"
Coral,"775235","5225129"
Coral,"768633","5214205"
Coral,"777534","5210425"
Coral,"783757","5208784"
Coral,"780035","5205381"
Coral,"764633","5202419"
Coral,"796990","5202974"
Coral,"797182","5199107"
Coral,"797682","5195577"
Coral,"784523","5185878"
Coral,"792551","5181082"
Coral,"800303","5188590"
Coral,"804645","5186219"
Coral,"809032","5189358"
Coral,"815749","5191327"
Coral,"815100","5185139"
Coral,"825481","5191524"
Coral,"823580","5184619"
Coral,"831881","5181505"
Coral,"840334","5181654"
Coral,"857793","5183642"
Coral,"849000","5166883"
Coral,"860127","5177289"
Coral,"860093","5172413"
Coral,"860000","5168505"
Coral,"859256","5164556"
Coral,"871571","5176685"
Coral,"840778","5168039"
Coral,"843730","5162025"
Coral,"828891","5152733"
Coral,"831184","5146663"
Coral,"838652","5147728"
Coral,"844806","5154595"
Coral,"860353","5140569"
Coral,"866102","5137643"
Coral,"892390","5126595"
Coral,"878786","5102588"
Coral,"888414","5099475"
Coral,"896711","5094058"
Coral,"898887","5079558"
Coral,"952320","5085712"
Coral,"827812","5133517"
Coral,"1057331","4868973"
Coral,"1089263","4852520"
Coral,"942214","4843962"
Coral,"752444","4873790"
Coral,"656637","4881886"
Coral,"651528","4880188"
Coral,"644040","4878441"
Coral,"660080","4870514"
Coral,"657871","4863341"
Coral,"605938","4883243"
Coral,"455792","4791736"
Coral,"425988","4419605"
Coral,"478423","4123441"
Coral,"575404","4060668"
Coral,"633933","4045976"
Coral,"656285","4033565"
Coral,"666107","3947493"
Coral,"687970","3929636"
Coral,"731765","3936469"
Coral,"398656","6071781"
